,zpid,price_str,price,zestimate,rent_zestimate,tax_assesed_value,beds,baths,sqft,lot_sqft,lot_acres,lat,lng,zip_code,city,state,address,status_type,status_text,home_type,is_preforeclosure,is_zillow_owned,days_on_zillow,link,miles_from_work,miles_from_work_class,price_per_square_foot,price_per_lot_size,lot_size_per_square_foot,beds_per_square_foot,baths_per_square_foot,beds_and_baths_per_square_foot,lot_sqft_vs_house_sqft,zestimate_vs_price,reveal_factor,good_deal_factor,location_factor,green_space_factor,interior_space_factor,space_cost_factor,reveal_factor_class
12,2060685229,"$2,565,000",2565000.0,,,,4.0,4.0,3269.0,3123.0,0.07169421487603306,39.724445,-104.94857,80206,Denver,CO,521 Adams St Denver CO 80206,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/521-Adams-St-Denver-CO-80206/2060685229_zpid/,19.26695145079396,Worst,784.6436219027225,821.3256484149856,-146.0,817.25,817.25,408.625,0.9553380238605078,,,,,,,,
13,108862471,"$2,199,000",2199000.0,2155882.0,5891.0,1222700.0,3.0,4.0,4708.0,3730.0,0.08562901744719927,39.725437,-104.94461,80206,Denver,CO,570 Monroe St Denver CO 80206,FOR_SALE,Multi-family home for sale,MULTI_FAMILY,False,False,-1,https://zillow.com/homedetails/570-Monroe-St-Denver-CO-80206/108862471_zpid/,19.374531420512795,Worst,467.07731520815634,589.544235924933,-978.0,1569.3333333333333,1177.0,672.5714285714286,0.792268479184367,-43118.0,,,,,,,
14,13321721,"$989,000",989000.0,975800.0,3689.0,943800.0,3.0,3.0,2354.0,6650.0,0.1526629935720845,39.74248,-104.96381,80206,Denver,CO,1645 Race St Denver CO 80206,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1645-Race-St-Denver-CO-80206/13321721_zpid/,17.827442452180517,Worst,420.13593882752764,148.7218045112782,4296.0,784.6666666666666,784.6666666666666,392.3333333333333,2.8249787595581988,-13200.0,,,,,,,
15,13330348,"$400,000",400000.0,382200.0,1794.0,319600.0,1.0,1.0,800.0,,,39.733418,-104.97033,80218,Denver,CO,1090 N Lafayette St APT 501 Denver CO 80218,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/1090-N-Lafayette-St-APT-501-Denver-CO-80218/13330348_zpid/,18.002570279765703,Worst,,,,,,,,-17800.0,,,,,,,
16,13329946,"$1,450,000",1450000.0,1427200.0,3798.0,921100.0,4.0,3.0,3436.0,4791.6,0.11000000000000001,39.736214,-104.97611,80218,Denver,CO,1256 N Emerson St Denver CO 80218,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1256-N-Emerson-St-Denver-CO-80218/13329946_zpid/,17.647910237003902,Worst,422.0023282887078,302.612905918691,1355.6000000000004,859.0,1145.3333333333333,490.85714285714283,1.3945285215366707,-22800.0,,,,,,,
17,13394107,"$342,000",342000.0,327631.0,1969.0,259900.0,2.0,2.0,940.0,,,39.731335,-104.931274,80220,Denver,CO,4801 E 9th Ave APT 401S Denver CO 80220,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/4801-E-9th-Ave-APT-401S-Denver-CO-80220/13394107_zpid/,19.635885246011444,Worst,,,,,,,,-14369.0,,,,,,,
18,130267598,"$875,000",875000.0,860200.0,3593.0,728400.0,,,,6250.0,0.14348025711662074,39.70883,-104.98068,80209,Denver,CO,421 S Pearl St Denver CO 80209,FOR_SALE,Lot / Land for sale,LOT,False,False,-1,https://zillow.com/homedetails/421-S-Pearl-St-Denver-CO-80209/130267598_zpid/,18.8613344068406,Worst,,,,,,,,-14800.0,,,,,,,
19,58296154,"$250,000",250000.0,239130.0,1425.0,217300.0,1.0,1.0,579.0,,,39.729332,-104.97579,80218,Denver,CO,925 E 8th Ave APT 325 Denver CO 80218,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/925-E-8th-Ave-APT-325-Denver-CO-80218/58296154_zpid/,17.99611679230135,Worst,,,,,,,,-10870.0,,,,,,,
20,52964256,"$590,000",590000.0,569829.0,2991.0,441900.0,3.0,2.0,1254.0,1454.0,0.03337924701561065,39.728867,-104.97137,80218,Denver,CO,1314 E 8th Ave Denver CO 80218,FOR_SALE,Multi-family home for sale,MULTI_FAMILY,False,False,-1,https://zillow.com/homedetails/1314-E-8th-Ave-Denver-CO-80218/52964256_zpid/,18.184203078202824,Worst,470.49441786283893,405.77716643741405,200.0,418.0,627.0,250.8,1.1594896331738438,-20171.0,,,,,,,
21,13333851,"$575,000",575000.0,549341.0,2821.0,411400.0,2.0,2.0,1478.0,,,39.729527,-104.97942,80203,Denver,CO,800 N Pearl St APT 704 Denver CO 80203,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/800-N-Pearl-St-APT-704-Denver-CO-80203/13333851_zpid/,17.851789689131685,Worst,,,,,,,,-25659.0,,,,,,,
22,58172727,"$415,000",415000.0,401894.0,1995.0,335000.0,1.0,1.0,917.0,8403.0,0.19290633608815427,39.739372,-104.964386,80218,Denver,CO,1450 N High St APT 1 Denver CO 80218,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/1450-N-High-St-APT-1-Denver-CO-80218/58172727_zpid/,17.949327255918984,Worst,452.5627044711014,49.387123646316795,7486.0,917.0,917.0,458.5,9.163576881134134,-13106.0,,,,,,,
23,52964459,"$390,000",390000.0,372596.0,1800.0,294600.0,2.0,1.0,739.0,,,39.717285,-104.97491,80218,Denver,CO,33 N Corona St APT 101 Denver CO 80218,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/33-N-Corona-St-APT-101-Denver-CO-80218/52964459_zpid/,18.630804866649573,Worst,,,,,,,,-17404.0,,,,,,,
24,2065391726,"$249,900",249900.0,,,,1.0,1.0,604.0,,,39.73336,-104.93983,80220,Denver,CO,1121 Albion St APT 504 Denver CO 80220,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/1121-Albion-St-APT-504-Denver-CO-80220/2065391726_zpid/,19.199644976872627,Worst,,,,,,,,,,,,,,,
25,58295744,"$599,000",599000.0,630002.0,2999.0,480800.0,3.0,2.0,1302.0,1086.0,0.024931129476584022,39.742992,-104.961845,80206,Denver,CO,2112 E 17th Ave Denver CO 80206,FOR_SALE,Townhouse for sale,TOWNHOUSE,False,False,-1,https://zillow.com/homedetails/2112-E-17th-Ave-Denver-CO-80206/58295744_zpid/,17.881591919206794,Worst,460.0614439324117,551.5653775322284,-216.0,434.0,651.0,260.4,0.8341013824884793,31002.0,,,,,,,
26,13329195,"$1,495,000",1495000.0,1464600.0,3952.0,780000.0,3.0,2.0,2163.0,,,39.734566,-104.963135,80206,Denver,CO,2000 E 12th Ave UNIT 14A Denver CO 80206,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/2000-E-12th-Ave-UNIT-14A-Denver-CO-80206/13329195_zpid/,18.224061101634312,Worst,,,,,,,,-30400.0,,,,,,,
27,2060776144,"$575,000",575000.0,,,,2.0,2.0,1608.0,,,39.743607,-104.97441,80218,Denver,CO,1011 E 17th Ave 6 Denver CO 80218,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/1011-E-17th-Ave-6-Denver-CO-80218/2060776144_zpid/,17.35980921619519,Worst,,,,,,,,,,,,,,,
